,title,review,stars,verified,helpful,date,amazon_id,id
122,This is how you know it works,"When I bought this I wanted to rent a EMF meter to measure before and after but there were two events that happened that convinced me it is working.

The first event was the main reason that I bought it. My wife's head is 5 feet from the meter when she sleeps and I worried that the meter RF could affect her health. She noticed that slept much better immediately after I first installed it, and still sleeps better almost a year later. She normally doesn't notice any correlations like that, but it made an obviously noticeable difference for her.

The second confirming event was that my power company has come to replace the smart meter TWICE in the year since I installed this shield. Both times, the contractor did not know why he was replacing it. None of my neighbors had theirs replaced, the neighborhood was built in 2005, with all smart meters. My bill still shows the correct power usage and they are not doing manual reading, so my signal is received by my neighbor who is passing it on to the utility in the mesh network. But they know my signal is weaker. I marked this last meter replacement date on the calendar so I can see how long until they replace it again.

This cover does not fit over my (pre-Eaton) Cutler Hammer combo meter distribution box very well. So I just taped it to the meter box using this aluminum foil tape: https://www.amazon.com/dp/B002EX855S
Wrapping the whole meter with this tape would probably work as RF shield, imo.

I received excellent email support from the seller/mfg of this meter shield. He replied quickly by email several times before and after the sale. I sent him pictures of my meter and he advised how to install it.

Mine has been outside for a year. There are no rust stains so it is high quality stainless steel. The meter-changing tech was not very gentle in removing the shield so a small part of the screen got a little bent, but that did not affect reinstalling it. It is very tough.",5,0,5,2019-08-22,B00OVJCPS6,122
123,Snake Oil,"A cell phone next to one's head creates a thousand times more radiation than any Smart Power Monitoring Meter ever would, sitting as they do some distance away and transmitting intermittently, while even a cell phone creates less exposure than a single high-altitude jet flight across the country. The ""EMF Shield"" is an example of expensive snake oil being pushed by predatory companies who make money by scaring people.",1,0,7,2019-12-11,B00OVJCPS6,123
124,Easy to install and it works.,"Easy to install and it allows are meter to be read. I was not sure if our meter could be read as we live in the country. But so far so good. I had been looking for some way to damp down the meter signal and after reading the reviews and web sites, I ordered this and feel like this was the best solution for us.",5,1,14,2015-02-26,B00OVJCPS6,124
125,You are wasting your money - There is nothing to worry about,"I am a Radio Frequency Engineer, the RF output from a Smart Meter is less than a typical cell phone and operates under FCC Part 15 regulations, which governs very low power transmitting devices, the transmission from a Smart Meter is bursted, meaning it only transmits for a very short period of time, the duty cycle (% of time its transmitting) of a typical smart meter is less than 0.5%. The frequency of operation is typically in the 902 MHz and 2.4 GHz bands.
The intended range of a transmitter in a smart meter is typically very localized. While the utility-side radio needs to reach a neighborhood concentrator, typically mounted on a nearby pole, smart meters can also mesh through other smart meters to communicate with the concentrator. (using five hops or less)
The smart meter only communicates when it is commanded to do so, typically several times a day, so its not on constantly. You are going to get more RF energy from your microwave or cell phone that you ever will from a smart meter.",1,0,2,2020-08-18,B00OVJCPS6,125
126,Cell phone EMF is much worse than the SmartMeters - research information around that,"I started researching on EMF after my phone made it on the SAR list of phones and how is the radiation level measured in the industry. Research brought me to Smart Meters during this effort and when you check ""Comparison"" as a keyword between the Smart Meter vs Cell phone or cordless phone or microwaves radiation - you would be surprised...

While this product does what it is advertised to do - minimize EMF radiation per measured levels in the available video on YT, it is not as dangerous as your cell phone is... or cordless phone ... or standing in front of the working microwave...

I cannot agree with the price point at all... for a piece of material put together to eliminate a little bit of EMF is a steep price honestly. I plan to take the aluminum window net and simply put zip tie around it and see what happens - because again, if this was a cell phone case that eliminates EMF radiation, I would have paid $100+ price tag... this one - definitely not worth it in my opinion.",3,0,1,2019-02-15,B00OVJCPS6,126
127,If it works your electric company will remove it,"I had one of these on the smart meter on my triler and those electric company people kept saying I was trying to steal power.

I'm not that type of person but when they took it and said don't tamper with my meter I had to do something.

I got a big metal bucket, some fine chicken wire and some heavy gage copper wire and clamps to attach between the bucket and the power lines and a bag of fast drying cement. I've filled the bucket with the fresh cement then I'm going to wrap my head in the chicken wire to get good grounding and stick my head in the bucket to sleep.

When I wake up tomorrow I'll report on how well it has blocked the radiation",2,0,2,2018-10-24,B00OVJCPS6,127
128,What a joke!!,I can<U+0092>t believe people really fall for stuff like this. Your cell phone has more radiation than a Smart Meter. Both are non-ionizing unlike X-rays and gamma rays which are ionizing. Doesn<U+0092>t anyone understand Science??? Someone<U+0092>s making money off gullible buyers!!!,1,0,3,2020-05-02,B00OVJCPS6,128
129,"DO NOT BUY,DO MORE RESEARCH!",DO NOT BUY THIS ITEM/ METER COVER THE IDEA IS GREAT BUT THE MAIN BOX IS THE BIGGEST CONCERN & THIS COVER ONLY COVERS THE ACTUAL METER FACE! I TESTED WITH 3 TESTERS & IT DOES NOT WORK(FOR THAT KIND OF MONEY) PLEASE DO MORE RESEARCH FOR A BETTER PRODUCT! PLUS CHECK BOX SIZE( BEHIND UR METER READER) ON UR HOME B4 WAISTING UR MONEY ON ANY OL ITEM!!!!!!! LOTS OF PEOPLE TRYING TO GET RICH FOR CRAPPY ITEMS!,1,0,3,2019-08-10,B00OVJCPS6,129
130,Poor design and quality.,"I purchased this item for my home meter in Los Angeles CA. There are no size or other options in choosing a smart meter guard. This is a one size fits all, or at least that is the design intent. The quality of guard is that of a prototype. It most certainly did not look or feel like a finished product. But I was eager to have this device work. It was too small to fit over the meter. i took photographs of my meter and sent along an explanation of the problem. They were reluctant to accept that the guard would not fit the meter. I took more photos of the guard with the meter illustrating the fitting issue. They did not send a return label. I returned the item at my cost. I did receive my refund immediately. I would NOT recommend this product. Poor design and fabrication. And if it did fit it is clearly way overpriced.",1,0,25,2016-07-03,B00OVJCPS6,130
131,Crap product,"Listen up people. 5G is not the issue. Don't like 5G, then move off grid. All this is going to do is cause the electric company to come out and check on your meter, they will find that you illegally blocked their transmitter, remove it, and then you will be out of money.

Seriously people. Get a life. 5G waves are all around. Blocking ONE tiny transmitter that only transmits once a day or even once a week is not going to save you.

Educate yourself. You are bombarded with cosmic radiation that is going to cause more harm to you than cell phone signals will.",1,0,0,2020-12-05,B00OVJCPS6,131
132,Scam,This device is a total scam. Don't waste your money.,1,0,6,2019-06-14,B00OVJCPS6,132
133,question for anyone else who dealt with this,"I had my own on for a year, it worked ok but not great. I switched to this and within hours didn't feel good BUT it did seem to block as well as mine, maybe a little better. Can anyone tell me why I would feel worse when more is blocked? I don't understand, can lower frequencies of RF cause more harm than higher? thank you!",3,0,1,2019-05-24,B00OVJCPS6,133
134,Not a good Idea.,"Regardless of the physical effects of the signal smart meters put out, your energy provider does use it collect power usage data to calculate your bill. They will not be bringing back meter-readers if you install this; they will remove it and likely charge you for their inconvenience.",1,0,1,2020-09-10,B00OVJCPS6,134
135,6-star rating!!,"high quality product, manufactured by real RF engineers, not one of the many fake products out there (I bought it from them in person after talking for an hour) - watch out for a lot of scam out there!!
my body can totally feel the difference - peaceful, regenerated and resourceful - just wow, I wish everyone can feel like that (side note: I thought I am not ""EMF-sensitive"", boy, was I wrong!!.. I think we all are to be honest..)",5,0,0,2020-07-23,B00OVJCPS6,135
136,Service violations,Most utility companies will discontinue service after a warning if meter signals are interrupted.,1,0,2,2020-07-14,B00OVJCPS6,136
137,Won't Work Or Signal Couldn't Be Sent to Electric Company,"Couldn't possibly work or it wouldn't send a signal... Those that are testing based on grounding, are using the wrong meter. Grounding does not correct RF exposure. Grounding may help with electrical exposure and the meter is finding that.",1,0,1,2019-06-16,B00OVJCPS6,137
138,ratings/reviews have a C grade on fakespot.com,"your ratings/reviews have a C grade on fakespot.com, i will likely buy one, but you might want to make a few changes to up your grade there:
https://www.fakespot.com/product/meterk-emf-meter-electromagnetic-field-radiation-detector-handheld-mini-digital-lcd-emf-detector-dosimeter-tester-counter",3,0,3,2017-11-15,B00OVJCPS6,138
139,Transmutable Device,My power bill has been reduced by 100%. Fantastic.,4,0,0,2019-08-21,B00OVJCPS6,139
140,Best Solution For Smart Meter Radiation,"It is a great idea to lower Smart Meter Radio Frequencies but does not stop what is being transmitted into your home out the backside. In Florida, we can opt out of the Smart Meter Program and they will remove it. I do not have a Smart Meter on my house. [...]",5,0,13,2015-08-13,B00OVJCPS6,140
141,"Way overpriced, cheaper alternatives exist.","Too expensive, several cheaper options out there that are just as good. Don't get ripped off.",1,0,4,2018-03-05,B00OVJCPS6,141
142,RF Engineer Opinion,"Smart meters are designed to radiate out the back of the meter for a few reasons. Many meters are located at the back of a home. In this case, radiating out the back of the meter focuses the meters energy towards the street where mobile utility meter readers have higher probability of receiving a stronger signal.

For the case where a meter is located on the side of a home, radiating back through the homes structure provides diffraction and scattering effects to the radio signal, increasing the odds of the meter reader receiving the signal.

Were the signal to strike, say the brick side of the neighboring house, lees scattering and diffraction of the signal happens. If the signal went out the back of the house, less signal would likely make it to the street, particularly for homes located adjacent to forests and vacant land.

A faraday cage is a fully enclosed surface. Wire mesh volumes that are not enclosed such as this meter shield are not faraday cages, and foremost will not shield occupants from RF radiation at all because the back of the meter still radiates into the structure.",1,0,22,2017-10-02,B00OVJCPS6,142
143,Cheap crap,Can't believe I bought this cheap crap. Let's see if it works,1,1,4,2017-03-18,B00OVJCPS6,143
144,falls off when windy,product comes off everytime it gets a little windy. I didn't search hard enough and found smart meter cover on etsy that was 10times cheaper and even has a ground wire Without a ground wire the cover is acting like a reflected shield going back into your home.,1,0,28,2015-04-16,B00OVJCPS6,144
145,Doesn't do anything,"The two technologies used for Smart Meters are either mesh technology and cellular.

For mesh networks, it just needs to send a signal a short distance to a neighboring meter in the net - which does NOT require a strong signal. For cellular, it's literally using the same type of radio found in the average cell phone, and sends on average a couple text messages a day. Once again, only a couple times a day. This is offering protection for a non-existent threat.",1,0,10,2018-01-25,B00OVJCPS6,145
146,these smart meter covers are great for protecting your family inside <U+0085>,these smart meter covers are great for protecting your family inside and out from the radiation these devices give off,5,0,4,2014-11-04,B00OVJCPS6,146
147,Smart Meter Radiation Guards For Your Health,"Smart Meter radiation Guards make great sense for your family, protect the most precious part of your life, your family.",5,0,4,2014-10-31,B00OVJCPS6,147
148,hope it works,just got it and hope it works,5,1,0,2019-01-16,B00OVJCPS6,148
149,Made in the USA!,It fit the description! Well made.,5,1,0,2020-10-02,B00OVJCPS6,149
150,"Does what it says, blocks RF","Works perfectly! I put my WiFi router in it and now none of my devices can connect, proving it works. I guess I could have just turned the router off, but then I would have had to find something else to do with the money I spent on this.",5,0,4,2020-12-04,B088C4KDVV,150
151,Energy relief,This was the best purchase for taking care of my health from electromagnetic field in my home. I feel calmer and do not have the anxiety level i had before using this product.,5,1,1,2020-10-03,B088C4KDVV,151
152,Perfect size for router and modem,"I dont have an EMF tester but this is big enough to fit my router and modem with the lid shut, and does not affect internet at all! You can still use wifi while your router/modem are in the box.",5,0,2,2020-06-26,B088C4KDVV,152
153,Works Great,"So please with my purchase ,help keep the Zetan Mindreader of Plains of Alberos out of my WIFI router. The sonic variance inhibitor i used before was just not cutting it.",5,0,0,2020-12-10,B088C4KDVV,153
154,Doesn't fix,The box is too small unfortunately,2,1,1,2020-10-20,B08JPK216F,154
155,Hilarious,"To anyone who wants to use these to block 5G signals. Yes, faraday cages will do that, and your wifi signals. Do not be shocked if your ability to connect is limited, you literally signed up for that by shielding the signals coming from your wifi router. You will want a hard connection (wired, not wireless). If you still want strong wifi signals, don't use this.
- Friendly Tech",3,0,8,2020-12-03,B08N2WBWWQ,155
156,I FOUND THIS DEVICE TO BE EXTREMELY PROBLEMATIC! I AM VERY DISSAPPOINTED!,"This cage is allegedly designed to keep out wireless signals, but it is also preventing the reception of my WiFi wireless signals on my router!
My signal strength to my WiFi router throughout my castle was reduced to almost but not quite zero.
A failure on many levels!
If I could give -81 stars, I would! ??",1,0,5,2020-12-03,B08N2WBWWQ,156
157,Works exactly as advertised.,It does exactly what it says it would. Faraday himself would be proud.,4,0,6,2020-12-02,B08N2WBWWQ,157
158,Scam,"I really hope nobody actually buys this. For those who are less technically informed: putting this around your router will prevent you from using your router. While you shouldn<U+0092>t be worried about the negative effects of radio waves on your body (would take centuries to have any effect), if you really want to shield yourself you<U+0092>d be better off investing in a $20 modem that doesn<U+0092>t come with wifi rather than paying $150 for a scam.",1,0,5,2020-12-04,B08N2WBWWQ,158
159,Decreases wifi couldn't use,Wifi signal decreased too much,2,1,7,2020-10-23,B08CK65GY8,159
160,It actually works.,"I didn't know this kind of thing existed until I researched RF Wifi radiation hazards and realized we couldn't move our modem/router. So I bought a radiation reader just so I knew what I was dealing with, this EMF reader brand is great by the way. So here's a picture of my router/modem RF measure 2 feet away reading at 235 RF. I unplugged both and put both in the cage, it overlapped a little and all 5 wires were able to fit through the circle, I took out the plug, and it closed fine. I measured it again from the same distance and it read 2.9 RF. That's a huge difference, safety standard is <10. So proof that it works, I feel better sitting next to it on the couch and having my kid play around the area now! Also there has been no noticeable difference with wifi strength, Netflix, surfing, cell phone speed all exactly the same as before.",5,1,2,2020-10-05,B08CK65GY8,160
161,Works better than expected,"I was a skeptic at first, but once I learned the four tentacles growing out of my armpits were likely caused by 5G radiation, I broke down and picked one up. Boy was I surprised at how well it worked! Within three days, the four tentacles retracted. As a bonus, my neighbors can<U+0092>t hack into my router anymore as no signal can pass through the router shield. It works that well. Good thing I still have some manual typewriters or I<U+0092>d be completely screwed.",1,0,12,2020-12-04,B08CK65GY8,161
162,Least useful product on Amazon,"I'm hoping this is a joke product... Trying to use a wifi router inside one of these is like trying to use a flashlight in a locked steel box. IT MAKES NO SENSE! Rf signals ARE the very thing wifi is made of. Anyone seriously think they can make do with a wifi connection that's only a tenth as strong as what they have? If you're considering buying one of these, just buy a non-wifi router and forget about using wifi. Cheaper and less frustration.",1,0,0,2020-12-07,B08CK65GY8,162
163,Does not work!!!!,I recently purchased this item to reduce my EMF exposure. I had a EMF specialist come to my home to take readings to help improve my quality of life and try to reduce my overall exposure within my home. I'm ultra sensitive to EMF's due to chronic Lyme and a compromised immune system. He validated that the router guard had no impact at all. Save your money and do not purchase this product. IT DOES NOT WORK.,1,1,171,2018-10-18,B01IJD22YG,163
164,MAJOR LEAGUE FAIL,"If you're going to pay over 60 bucks for this thing, it should be able to accomodate the wiring which goes with the unit that goes inside it. There is one relatively small hole for which to pass the wires through, needless to say, it don't do the job!. This is a BIG FAIL. Sorry but I am VERY fair with all my reviews and I ain't going to change that now.",1,1,94,2018-04-15,B01IJD22YG,164
165,Actually reduces RF radiation from a router,"After I learned about EMF dangers, I wanted to do something to reduce the intensity of the WiFi signal from my router. My computer is wired to the router with an Ethernet cable, but I use WiFi for my cell phone quite often. I was skeptical of this Router Guard, but it seemed to be my only option. After I put my router in it, I tested it with an EMF meter (Cornet ED-78S, using the RF function). When the cage was open, at a distance of about 6 inches, the reading fluctuated around 35-45 mW/m2 and when the cage was closed, the reading fluctuated around 0,5-1.5 mW/m2. At a more reasonable distance of about 2.5 feet (which is how far the router is from my work chair), when the cage was open the reading fluctuated around 5.5-8.5 mW/m2 and when closed the reading fluctuated around 0.2-0.9 mW/m2. These readings are probably specific to my router and should not be taken as absolutes, but the difference between an open cage (unguarded) and a closed cage are remarkable enough to convince me that I got my money's worth.
One problem, however, is that there are no holes in the box for wires. The directions say to just close the lid over the wires, but an Ethernet cable is not supposed to be bent sharply, Without bending my cables (inbound feed, Ethernet out, telephone out, and power line) the lid would not close. So I used a hacksaw to make two cuts about 3/4 inch apart and 3/8 inch deep on the top rim of the box (about where the indent on the lid falls) and folded down the material to make an opening for the cables to pass. Then, when the lid is pressed down, it has sufficient play in it to close without bending the cables more than slightly. I also wrapped the cables with aluminum foil to block the opening. Then I used some wire at each corner to keep the lid closed.
By the way, even when the router is sealed in the cage, my cell phone picks up the WiFi signal with no problem throughout the room.",5,1,152,2016-11-06,B01IJD22YG,165
166,Works better than the thick one I made ??,"I have attached video showing end sensor proves it works. Easy to set up and install, my wife did it. Easy way to remember which plug goes where, just put tape over the wires before unplugging",5,1,102,2018-02-01,B01IJD22YG,166
167,Excellent!,"My router fits in the box perfectly! There is a small hole for the cords to run through. Other reviews complained of a 'slit' that the wires wouldn't fit through, they must have fixed that because I have no trouble. Tested it with a EMF detector and it lowers the EMFs from 100+ to 2-3 without affecting the signal throughout the whole house (2400square ft - works in every room).",5,1,51,2018-08-17,B01IJD22YG,167
168,For your own sake.............,"First of all there is no opening cut for the wires so it can't be closed unless you get a hack saw and cut appropriate opening to accommodate the wires. There is a 1"" wide cut in the upper part of the short side with no corresponding lower cut so to close it you'd need flat wiring. This does not accommodate coaxial wire...just a single flat power cord. When I requested to return the unit due to this obvious engineering problem, I was told I had to pay the shipping back to them. When I insisted they pay the freight they finally sent me a paid return label BUT DEDUCTED IT FROM MY REFUND.",1,1,125,2016-12-09,B01IJD22YG,168
169,Look out!,"You all DO realize this is a repurposed 8<U+0094>x 11<U+0094> desk organizer, right? Pencil holders and even utensil organizers use the same wire design. Notice the hole in the front never quite works with router gods? It<U+0092>s bc the grommet is for your finger to lift the lid when taking out your papers. What a joke and what a lazy supplier. This costs less than 5$ fob to make and if they don<U+0092>t reduce their cost ASAP I<U+0092>m going to have this remade with my own supplier, put holes in the right places, redesign, and sell online for a fraction of the cost.",1,1,20,2019-12-17,B01IJD22YG,169
170,It works,"The Pro: It does what it says and reduces EMF by about 90% emitting from whatever electronic device you place in it. If you are sensitive to EMF, this made my living space more manageable and noticeably more conducive for mind clarity and relaxing. I also noticed a reduction in heat in the room of where the wifi is connected.

The Con: I did notice a decrease in internet performance. But to us its worth it. There has only been one time where we had to open up the top of the container to amplify the connection.

As an alternative if you didn't want to purchase this, you could always just unplug your internet and that works too. I like the convenience of this myself.",5,1,28,2018-10-19,B01IJD22YG,170
171,Greatlly reduces an ISP's always on wifi signal,Wifi cannot be disabled on my cable company's (shared service) netgear wireless router. This cage substantially attenuates the signal. Confirmed with an Extech 480846 8 ghz rf triaxial emf meter.,5,1,28,2018-07-17,B01IJD22YG,171
172,It does work well!,"It works! I didn<U+0092>t have any trouble fitting four cords through the hole in the bottom so maybe cord thickness/ size is the issue with other reviewer<U+0091>s. I measured the before and after radiation and I<U+0092>m very pleased with it. I need to buy a couple more, however, because there is a cable box and another router for my camera system that needs to be shielded.",5,1,18,2019-04-25,B01IJD22YG,172
173,Does exactly what it should,"This item decreases field strength of a wifi transmitter. Incredibly easy to use - just pop the router inside as is, no need to disconnect anything, just move the wires a bit so they fit through the side notch. For those who are looking for this function, helpful for privacy / web security (but the opposite of getting better signal throughout an area) this item is ideal.",5,1,22,2016-03-12,B01IJD22YG,173
174,Barley reduced wifi signal,"I bought this based on a YouTube review which seemed to indicate good capabilities as regards bringing down the strength of wifi signal. Our router tested very high, and since using wifi regularly I have noticed negative health impacts. I get brain fog and dizzy spells while in high wifi environments. These symptoms dissipate once away from such signals. I really wanted this product to work but it barley moved the needle down in terms of attenuating our signal. At nearly 70 dollars I was not impressed. Also the lid did not have a snug fit and the mesh seems too big in terms of the hole sizes. The same day I decided to create a home made Faraday cage using an old ammo can. For 20 minutes of work, and no expense I made a router guard that works a lot better. I still hope to find a way to lower my signal further and will continue to experiment with materials and cage styles.",2,1,5,2019-06-10,B01IJD22YG,174
175,TOO SMALL,"This thing is useless. The routers fits snugly so there's nowhere for the cords to go. I tried jamming them all in there anyway, but it wound up damaging the power supply and one of the ethernet cables.",1,1,15,2018-06-26,B01IJD22YG,175
176,Didn't work,We Tested this with Acoustimeter Emf meter this thing didn<U+0092>t decrease the Emf even a Little bit. :/,1,1,10,2020-02-16,B01IJD22YG,176
177,Hugh emf reduction,I<U+0092>m trying to reduce my emf in my home. I bought an emf electro smog meter. First I purchased a smart meter guard. Amazing reduction . Then I bought this router guard after getting up to 25000 micro bursts of energy from my router. Cut 95 percent of bursts. I bought a total of 3 for family members also. I can still use all my I pads and sonos speaker . Everything works well. I bought the small router guard and removed the base of my router and it fit right in. I believe emf from all our devices will be as bad if not worse than smoking. And ohhh joy they have WiFi in planes?,5,1,5,2018-09-20,B01IJD22YG,177
178,THIS JUST MAY SAVE MY LIFE,"THIS ITEM ARRIVED IN A TIMELY MANNER. I GOT IT SET UP & AM ORDERING A EMF METER TODAY SO I CAN SEE EXACTLY HOW MUCH OF THE DANGEROUS EMFs IT REALLY BLOCKED. SINCE I'VE LEARNED HOW DANGEROUS EMFs ARE TO OUR HEALTH AS WELL PEACE OF MIND I HAD TO TAKE ACTION. 5G WHICH NONE OF US NEED & FEW WANT IS A MILITARY GRADE WEAPON. I HAVE TROUBLE SLEEPING AT NIGHT, HAVE HORRIBLE RINGING IN MY EARS, SUFFER FROM EXTREME FATIGUE & HAD AN AGGRESSIVE CANCER ALREADY. I HAVE ORDERED SOME OTHER EMF BLOCKERS AS WELL. FOR MY PHONE & A PAD FOR MY LAPTOP & A NECKLACE TO BLOCK THE EMF. THESE ITEMS ARE A MUST!",5,1,2,2020-04-09,B01IJD22YG,178
179,This little cage is a must!,"The wireless router for the computer/phone was about 4 feet from where I sleep. I've had many restless nights of no sleep as well as waking up feeling like I was drugged! After I bought this cage, I began to sleep again and not wake up feeling slow minded.
With what they're doing and planning for the wireless systems, you need to get this and the price was perfect!",5,1,3,2019-05-14,B01IJD22YG,179
180,Great!,Look this stuff is crazy so to be honest I did NOT measure with a meter but it FITS FINE (just ignore all those reviews with the ridiculous complaints about space and a hole) and it's still giving me a signal and I will get a meter to measure just haven't done so yet and this is small step forwards and I'm thrilled with it.,4,1,4,2019-09-05,B01IJD22YG,180
181,Works as advertised,"It works good. Received my RF / EMF meter and it cut the RF wifi low danger zone radiation down to about 15 inches from router. It was safe inside guard. Signal got through cage but danger did not. Slower downloads in the other room through walls but would rather be safe than faster than needed anyway. Great seal (it just stays shut, made well) if I need gaming in the far part of the home then I'll run ethernet hardwire. Only lost 20 percent speed in room where router, PC and tv are. Large size. Plenty of room for router with no extrnal antenna. I think it would hold a 6 inch antenna inside IMO",5,1,1,2020-03-29,B01IJD22YG,181
182,i couldn't live without the wifi router and smart meter guards,It is so much more relaxing being in my home. i couldn't live without the wifi router and smart meter guards. They are well worth the money.,5,1,11,2017-04-06,B01IJD22YG,182
183,Doesn't work very well,"I was hoping that this would supply much better isolation than it does. It probably drops the signals outside by 10 db, but they are still visible outside of the cage.",1,1,4,2019-10-16,B01IJD22YG,183
184,seems like a good investmernt in your own health,seems to work well.,5,1,5,2017-12-03,B01IJD22YG,184
185,"I had a ""Fit issue"" my router .","was larger than the EMF box. So i went down to the cable company and picked uo a smaller router/wi fi box. Problem solved. I could tell a significant difference. For me, my Emf sensitivity is pretty problematic i literly feel a mild shock when i am on electronic devices. And had started to avoid electronic devices as much as i could. Now i have to get something to help with my desktop computer tower",5,1,3,2018-10-03,B01IJD22YG,185
186,Great Customer Service,"It is a good concept but the cover was too small for my type of router. The company was AWESOME and refunded right away.
I would deal with this company any time.",5,1,11,2020-01-03,B01IJD22YG,186
187,Works as intended,"The guard works perfectly, no unwanted radiation is getting through our 5G router anymore! Totally worth the price.",5,1,1,2019-08-24,B01IJD22YG,187
188,Reduces RF like it says,Does what it says....reduces RF but also Wifi doesnt reach well in certain rooms of my house now which is a minor issue,5,1,1,2019-05-21,B01IJD22YG,188
189,This Thing Works,This thing REALLY works. It's neatly put together and looks just as it does on the photo. No EMF's once I put my router inside of this box and close the box. I can tell a big difference when I sleep.,5,1,0,2019-11-27,B01IJD22YG,189
190,Good solid product,"Does not fit tightly on my router. I have it on anyway, I would like more space for cords to exit. Nice sturdy product I feel is imperitave for today to use in the home.",5,1,0,2019-11-06,B01IJD22YG,190
191,Works Great for RF.,"This definitely works great for RF, Using GQ EMF 390 meter this dropped RF down 360 mW/m2 to just over 7 mW/m2 one foot away from the wireless router, 4 feet away RF is barely reading, internet speed is still excellent even on the opposite side of my house. EMF did not seem to be reduced much at all.",4,1,0,2019-12-21,B01IJD22YG,191
192,Not good experience. Wish they made the box bigger,"Purchased two. Given to son-in-law as gift, his Wi-Fi router couldn't fit it and told me to return it. Then I opened the other one which came in a bent box. So this one was already bent while shipping. Not good experience. Wish they made the box bigger, or the hole (opening) for the cables should be on the side. Return was made smoothly. Customer service is really good. That's the part I liked. So I gave 3 stars.",3,1,2,2018-06-06,B01IJD22YG,192
193,Perfect Size and Fit,Feel so much relief knowing that there are manufacturers considering the impact of excessive EMFs and creating useful products to address this growing issue.,5,1,0,2019-01-05,B01IJD22YG,193
194,Great quality,Fast shipment. Great quality. I just hope it<U+0092>s doing what it says it does!,5,1,0,2019-01-13,B01IJD22YG,194
195,worked great,reduced wifi in the house,5,1,0,2020-02-23,B01IJD22YG,195
196,Safety of the router box,Quality of the router box and how easy to use and the security of low low voltage to the person's home.,5,1,0,2019-05-10,B01IJD22YG,196
197,SCAM ALERT!,"Beware: you are being scammed. This device claims to lower the radiation emitting from your WiFi router. You need to understand a few things:

1. That radiation is the wireless signal and is required in order to use connect to the internet wireless. This device claims to lower the radiation, well that means it lowers the signal strength which lowers the router's range and throughput (e.g. speed).
2. Radiation from a WiFi router does not cause harm. All devices emit radiation: light bulbs, TVs, computer screens, phones, tablets, microwaves, toasters, garbage disposals, trash compactors, security cameras, plants. You're better off putting _yourself_ in a Faraday cage rather than your router.
3. You don't need this device. If you really want to lower your router's signal strength (e.g. radiation), just adjust this setting in your router's configuration (do a Google search for ""adjust wifi strength [router brand/model].

This device makes no sense, sorry!",1,0,49,2018-06-20,B01IJD22YG,197
198,Seems to be working,It worked for me. It did initially limit the internet reception but I can still get reception in other parts of my house.,5,1,0,2019-12-11,B01IJD22YG,198
199,Check router size before ordering,"Was too small for our router, but would have loved it if it had fit.",5,1,0,2019-02-10,B01IJD22YG,199
200,Good night<U+0092>s sleep!,Since using this product I<U+0092>ve been sleeping through the night.,5,1,0,2019-10-16,B01IJD22YG,200
201,High Quality,Works great. Exceeded my expectations.,5,1,0,2020-08-17,B01IJD22YG,201
202,Might be too big for some routers. It works.,"I think it works it has a hole for your cables. Some routers with Wi-Fi is too big for box. So I used my netgear Wi-Fi because it fits. Wi-Fi is always transmitting and is a new technology that probably bad for you. When I enclosed Wi-Fi router I still have plenty of signal. Building your own is ridiculous, it's well made. Thank you for selling it.",4,1,6,2018-04-01,B01IJD22YG,202
203,It works but doesn't cut down the EMF recorder by much.,"I thought there would be less EMF vibrations escaping from the box, but it does decrease it some so its better than nothing.",3,1,0,2020-02-05,B01IJD22YG,203
204,It works!,I found this product importantly effective. Thank you!,5,1,0,2020-01-05,B01IJD22YG,204
205,Easy set up,Very easy to set up,4,1,0,2018-11-15,B01IJD22YG,205
206,Five Stars,Water meter cover helped a lot stop the ringing of the years in our house,5,1,0,2017-12-19,B01IJD22YG,206
207,Works,Works well ??,5,1,0,2019-02-21,B01IJD22YG,207
208,The demensions were wrong,The WiFi router we use is just a little bit too big. Can<U+0092>t close the lid,1,1,2,2019-11-15,B01IJD22YG,208
209,Too small.,Works good if you have a small router.,3,1,0,2019-01-11,B01IJD22YG,209
210,Blocks EMF Exposure,Does what it is suppose to do.,4,1,0,2019-10-19,B01IJD22YG,210
211,Quackery Alert! Quackery Alert!,"First off, and this is just for starters, a Faraday cage with a giant hole is kind of like a bullet proof vest with a giant hole in it.

Second, if you're that worried about WiFi signals, which have never been linked to any health hazard, then don't use WiFi. Get a wired router. The amount of EMF emitted by a WiFi is so low that its functionally radio waves, meaning you're more likely to be ""injured"" by your car stereo. At a foot or so, your microwave belts out 25 mG, or milli-Gauss, compared to a typical routers 5-6, meaning 5 routers a equal to 1 microwave. What're you typically in front of a foot away, your WiFi source or your kitchen?

Third, The Faraday cage will function for the most part, which means you're buying a signal source design to work at 200-300 feet, and making it work at only 100-200 feet, meaning you'll have to buy more wireless repeaters to get the same signal strength from your Wi-Fi source, compounding your problem. Hopefully these guys give a 2-1 deal

Amazon should be ashamed to support products that're clearly quack science designed to scare people.",1,0,22,2019-02-01,B01IJD22YG,211
212,Four Stars,Seems fine not sure if it works,4,1,0,2017-10-01,B01IJD22YG,212
